station,total,nLesbian,pLesbian,nHask,pHask,nFask,pFask,nHomo,pHomo,label,x,y,lengthmean
issy,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Issy,15.363,49.255,418.0
issy-val-de-seine,7,0.0,0.0,3.0,0.42857142857142855,4.0,0.5714285714285714,0.0,0.0,Issy — Val de Seine,15.631,49.857,291.85714285714283
jacques-bonsergent,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Jacques Bonsergent,21.497,52.33,254.0
jasmin,5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,Jasmin,15.928,51.223,394.8
jaures,22,0.0,0.0,12.0,0.5454545454545454,6.0,0.2727272727272727,4.0,0.18181818181818182,Jaurès,22.058,52.968,306.0
javel,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Javel,16.465,50.856,605.0
javel-andre-citroen,7,0.0,0.0,3.0,0.42857142857142855,2.0,0.2857142857142857,2.0,0.2857142857142857,Javel — André Citroën,16.48,50.839,505.14285714285717
jules-joffrin,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Jules Joffrin,20.525,53.618,603.0
jussieu,12,1.0,0.08333333333333333,1.0,0.08333333333333333,9.0,0.75,1.0,0.08333333333333333,Jussieu,21.126,50.847,361.0833333333333
kleber,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Kléber,17.429,52.348,302.0
la-chapelle,16,0.0,0.0,6.0,0.375,8.0,0.5,2.0,0.125,La Chapelle,21.456,53.137,454.75
la-defense,87,0.0,0.0,24.0,0.27586206896551724,62.0,0.7126436781609196,1.0,0.011494252873563218,La Défense,14.18,53.563,467.6666666666667
la-fourche,13,0.0,0.0,5.0,0.38461538461538464,5.0,0.38461538461538464,3.0,0.23076923076923078,La Fourche,19.376,53.321,360.3076923076923
la-motte-picquet-grenelle,46,1.0,0.021739130434782608,16.0,0.34782608695652173,27.0,0.5869565217391305,2.0,0.043478260869565216,La Motte-Picquet — Grenelle,17.775,50.997,437.2173913043478
la-muette,5,0.0,0.0,1.0,0.2,4.0,0.8,0.0,0.0,La Muette,16.289,51.556,405.4
la-tour-maubourg,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,La Tour-Maubourg,18.487,51.541,156.0
laumiere,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Laumière,22.614,53.18,512.3333333333334
ledru-rollin,3,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Ledru-Rollin,22.412,51.148,417.3333333333333
le-kremlin-bicetre,7,0.0,0.0,1.0,0.14285714285714285,6.0,0.8571428571428571,0.0,0.0,Le Kremlin-Bicêtre,21.568,48.66,390.42857142857144
le-peletier,5,1.0,0.2,1.0,0.2,3.0,0.6,0.0,0.0,Le Peletier,20.237,52.563,255.4
les-gobelins,9,0.0,0.0,4.0,0.4444444444444444,4.0,0.4444444444444444,1.0,0.1111111111111111,Les Gobelins,20.99,50.225,469.3333333333333
les-halles,29,0.0,0.0,10.0,0.3448275862068966,15.0,0.5172413793103449,4.0,0.13793103448275862,Les Halles,20.664,51.832,422.3103448275862
les-sablons,6,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,Les Sablons,16.125,52.945,403.0
liberte,6,0.0,0.0,3.0,0.5,3.0,0.5,0.0,0.0,Liberté,24.261,49.625,512.5
liege,6,0.0,0.0,1.0,0.16666666666666666,4.0,0.6666666666666666,1.0,0.16666666666666666,Liège,19.46,52.85,405.6666666666667
louis-blanc,4,0.0,0.0,1.0,0.25,2.0,0.5,1.0,0.25,Louis Blanc,21.776,52.964,357.75
louise-michel,12,0.0,0.0,3.0,0.25,6.0,0.5,3.0,0.25,Louise Michel,17.115,53.404,296.8333333333333
louvre-rivoli,7,0.0,0.0,2.0,0.2857142857142857,5.0,0.7142857142857143,0.0,0.0,Louvre — Rivoli,20.314,51.717,559.1428571428571
luxembourg,7,0.0,0.0,4.0,0.5714285714285714,3.0,0.42857142857142855,0.0,0.0,Luxembourg,20.259,50.867,508.0
mabillon,8,0.0,0.0,2.0,0.25,6.0,0.75,0.0,0.0,Mabillon,19.992,51.251,472.5
madeleine,34,0.0,0.0,7.0,0.20588235294117646,26.0,0.7647058823529411,1.0,0.029411764705882353,Madeleine,19.335,52.24,476.79411764705884
magenta,6,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Magenta,21.478,52.636,554.0
mairie-de-clichy,9,0.0,0.0,5.0,0.5555555555555556,4.0,0.4444444444444444,0.0,0.0,Mairie de Clichy,18.214,54.246,315.0
mairie-de-montreuil,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Mairie de Montreuil,26.34,51.82,197.0
mairie-de-saint-ouen,6,0.0,0.0,3.0,0.5,3.0,0.5,0.0,0.0,Mairie de Saint-Ouen,19.87,54.788,447.0
mairie-des-lilas,4,0.0,0.0,0.0,0.0,3.0,0.75,1.0,0.25,Mairie des Lilas,24.853,52.871,406.75
mairie-dissy,4,0.0,0.0,1.0,0.25,2.0,0.5,1.0,0.25,Mairie d'Issy,16.209,49.515,330.5
mairie-divry,4,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,Mairie d'Ivry,22.85,48.741,645.75
maison-blanche,9,0.0,0.0,0.0,0.0,7.0,0.7777777777777778,2.0,0.2222222222222222,Maison Blanche,21.35,49.379,326.44444444444446
maisons-alfort-stade,4,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,Maisons-Alfort — Stade,25.854,48.656,448.25
malakoff-plateau-de-vanves,3,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,Malakoff — Plateau de Vanves,17.754,49.422,305.6666666666667
malakoff-rue-etienne-dolet,2,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,Malakoff — Rue Etienne Dolet,17.649,48.994,741.5
malesherbes,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Malesherbes,18.394,53.052,371.5
maraichers,6,0.0,0.0,2.0,0.3333333333333333,4.0,0.6666666666666666,0.0,0.0,Maraîchers,24.21,51.236,682.3333333333334
marcadet-poissonniers,10,0.0,0.0,3.0,0.3,7.0,0.7,0.0,0.0,Marcadet — Poissonniers,20.815,53.534,593.0
marcel-sembat,16,0.0,0.0,3.0,0.1875,13.0,0.8125,0.0,0.0,Marcel Sembat,14.468,50.101,533.5
marx-dormoy,4,0.0,0.0,3.0,0.75,1.0,0.25,0.0,0.0,Marx Dormoy,21.437,53.509,486.75
maubert-mutualite,6,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,0.0,0.0,Maubert — Mutualité,20.718,51.084,636.0
menilmontant,5,0.0,0.0,1.0,0.2,4.0,0.8,0.0,0.0,Ménilmontant,22.836,52.09,633.8
michel-ange-auteuil,14,1.0,0.07142857142857142,6.0,0.42857142857142855,6.0,0.42857142857142855,1.0,0.07142857142857142,Michel-Ange — Auteuil,15.687,50.951,487.14285714285717
michel-ange-molitor,9,0.0,0.0,3.0,0.3333333333333333,4.0,0.4444444444444444,2.0,0.2222222222222222,Michel-Ange — Molitor,15.551,50.785,354.1111111111111
michel-bizot,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Michel Bizot,23.973,50.305,862.0
miromesnil,38,0.0,0.0,7.0,0.18421052631578946,29.0,0.7631578947368421,2.0,0.05263157894736842,Miromesnil,18.774,52.503,455.63157894736844
monceau,2,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,Monceau,18.375,52.902,516.5
montgallet,4,0.0,0.0,1.0,0.25,3.0,0.75,0.0,0.0,Montgallet,23.261,50.725,341.75
