station,total,nLesbian,pLesbian,nHask,pHask,nFask,pFask,nHomo,pHomo,label,x,y,lengthmean
tuileries,4,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,Tuileries,19.632,51.939,347.5
vaneau,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Vaneau,19.095,50.988,925.0
varenne,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Varenne,18.743,51.447,409.0
vaugirard,10,0.0,0.0,0.0,0.0,8.0,0.8,2.0,0.2,Vaugirard,17.909,50.443,440.3
vavin,2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Vavin,19.608,50.594,529.5
victor-hugo,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Victor Hugo,16.973,52.268,230.0
villejuif-leo-lagrange,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Villejuif — Léo Lagrange,21.664,48.354,72.0
villiers,47,0.0,0.0,6.0,0.1276595744680851,30.0,0.6382978723404256,11.0,0.23404255319148937,Villiers,18.813,52.949,377.6170212765957
vincennes,12,0.0,0.0,4.0,0.3333333333333333,6.0,0.5,2.0,0.16666666666666666,Vincennes,25.817,50.913,392.75
volontaires,4,0.0,0.0,3.0,0.75,1.0,0.25,0.0,0.0,Volontaires,18.316,50.561,307.5
voltaire,11,0.0,0.0,1.0,0.09090909090909091,5.0,0.45454545454545453,5.0,0.45454545454545453,Voltaire,22.64,51.559,374.8181818181818
wagram,6,0.0,0.0,0.0,0.0,5.0,0.8333333333333334,1.0,0.16666666666666666,Wagram,18.074,53.108,449.5
