station	trafic	nLines	ngrams	y	x	name	TOTAL 1	TOTAL 2	TOTAL 3	HH 1	HH 2	HH 3	HF 1	HF 2	HF 3	FH 1	FH 2	FH 3	FF 1	FF 2	FF 3
liege	1731063	1	"[{""word"":""trop"",""count"":5},{""word"":""yeux"",""count"":4},{""word"":""amis"",""count"":3},{""word"":""station"",""count"":3},{""word"":""tête"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""assez"",""count"":3},{""word"":""quand"",""count"":2},{""word"":""leurs"",""count"":2},{""word"":""liège"",""count"":2},{""word"":""quand"",""count"":2},{""word"":""gris"",""count"":2},{""word"":""assoupie"",""count"":2},{""word"":""vraiment"",""count"":2},{""word"":""bon"",""count"":2},{""word"":""soir"",""count"":2},{""word"":""liège"",""count"":2},{""word"":""coup"",""count"":2},{""word"":""envie"",""count"":2},{""word"":""liège"",""count"":2},{""word"":""ils"",""count"":2},{""word"":""face"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""osé"",""count"":2},{""word"":""contre"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""usagers"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""vitre"",""count"":2},{""word"":""chapeau"",""count"":2},{""word"":""lazare"",""count"":2},{""word"":""juste"",""count"":2},{""word"":""hier"",""count"":2},{""word"":""journal"",""count"":2},{""word"":""regardé"",""count"":2},{""word"":""assise"",""count"":2},{""word"":""montée"",""count"":2},{""word"":""non"",""count"":2},{""word"":""aussi"",""count"":2},{""word"":""deux"",""count"":2},{""word"":""croisé"",""count"":2},]"	48.8795640572124	2.32651728518985	Liège	2	9	4217	1	1	741	0	4	1462	1	4	2014	0	0	0
louis-blanc	2523039	2	"[{""word"":""très"",""count"":7},{""word"":""yeux"",""count"":6},{""word"":""peu"",""count"":6},{""word"":""avant"",""count"":4},{""word"":""cheveux"",""count"":4},{""word"":""matin"",""count"":3},{""word"":""jeune"",""count"":3},{""word"":""enthousiastes"",""count"":2},{""word"":""noire"",""count"":2},{""word"":""rouge"",""count"":2},{""word"":""foncé"",""count"":2},{""word"":""courts"",""count"":2},{""word"":""louis"",""count"":2},{""word"":""échangé"",""count"":2},{""word"":""femme"",""count"":2},{""word"":""belle"",""count"":2},{""word"":""lundi"",""count"":2},{""word"":""chaussures"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""verts"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""chatain"",""count"":2},{""word"":""descende"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""gris"",""count"":2},{""word"":""face"",""count"":2},{""word"":""moins"",""count"":2},{""word"":""pensé"",""count"":2},{""word"":""ans"",""count"":2},{""word"":""marron"",""count"":2},{""word"":""jean"",""count"":2},{""word"":""femme"",""count"":2},{""word"":""dernier"",""count"":2},{""word"":""regards"",""count"":2},{""word"":""assez"",""count"":2},{""word"":""station"",""count"":2},{""word"":""lunettes"",""count"":2},]"	48.8810261029957	2.3655569576092	Louis Blanc	0	6	3132	0	1	123	0	3	1880	0	2	1129	0	0	0
louise-michel	3240270	1	"[{""word"":""yeux"",""count"":6},{""word"":""trop"",""count"":5},{""word"":""sac"",""count"":5},{""word"":""regards"",""count"":4},{""word"":""descendu"",""count"":3},{""word"":""loin"",""count"":3},{""word"":""monté"",""count"":3},{""word"":""casque"",""count"":3},{""word"":""debout"",""count"":3},{""word"":""chemise"",""count"":3},{""word"":""ptit mec"",""count"":2},{""word"":""bleus"",""count"":2},{""word"":""beaucoup"",""count"":2},{""word"":""gros"",""count"":2},{""word"":""bleues"",""count"":2},{""word"":""lancé"",""count"":2},{""word"":""jean"",""count"":2},{""word"":""barbe"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""regardé"",""count"":2},{""word"":""costume"",""count"":2},{""word"":""quelques"",""count"":2},{""word"":""souvent"",""count"":2},{""word"":""concours"",""count"":2},{""word"":""cuir"",""count"":2},{""word"":""route mister"",""count"":2},{""word"":""croisions"",""count"":2},{""word"":""tite"",""count"":2},{""word"":""stations"",""count"":2},{""word"":""michel"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""malheureusement"",""count"":2},{""word"":""assis"",""count"":2},{""word"":""incroyable"",""count"":2},{""word"":""brut"",""count"":2},{""word"":""contre"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""louise"",""count"":2},{""word"":""haut"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""villiers"",""count"":2},{""word"":""mec"",""count"":2},{""word"":""caméléon"",""count"":2},{""word"":""fille"",""count"":2},{""word"":""mignon"",""count"":2},{""word"":""assise"",""count"":2},{""word"":""ptit"",""count"":2},{""word"":""etais"",""count"":2},{""word"":""bonne"",""count"":2},{""word"":""converses"",""count"":2},{""word"":""passer"",""count"":2},{""word"":""magnifique"",""count"":2},{""word"":""demandé"",""count"":2},{""word"":""porte"",""count"":2},{""word"":""pendant"",""count"":2},{""word"":""milieu"",""count"":2},{""word"":""croisé"",""count"":2},{""word"":""nombreuses"",""count"":2},]"	48.8888292427619	2.28813731087893	Louise Michel	3	14	4134	0	3	534	1	7	2715	2	4	885	0	0	0
louvre-rivoli	2582023	1	"[{""word"":""cheveux"",""count"":7},{""word"":""osé"",""count"":5},{""word"":""rose"",""count"":4},{""word"":""quelques"",""count"":4},{""word"":""face"",""count"":4},{""word"":""ligne"",""count"":4},{""word"":""métro"",""count"":4},{""word"":""brun"",""count"":3},{""word"":""livre"",""count"":3},{""word"":""sac"",""count"":3},{""word"":""belle"",""count"":3},{""word"":""j'étais"",""count"":3},{""word"":""regrette"",""count"":3},{""word"":""noir"",""count"":3},{""word"":""très"",""count"":3},{""word"":""blonde"",""count"":3},{""word"":""peut"",""count"":3},{""word"":""pris"",""count"":3},{""word"":""assise"",""count"":3},{""word"":""debout"",""count"":3},{""word"":""deux"",""count"":3},{""word"":""site"",""count"":2},{""word"":""noires"",""count"":2},{""word"":""être"",""count"":2},{""word"":""notes"",""count"":2},{""word"":""rouge"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""lunettes"",""count"":2},{""word"":""avait"",""count"":2},{""word"":""soir"",""count"":2},{""word"":""portais"",""count"":2},{""word"":""noir"",""count"":2},{""word"":""hier"",""count"":2},{""word"":""direction"",""count"":2},{""word"":""épais"",""count"":2},{""word"":""bizarre"",""count"":2},{""word"":""louvrerivoli"",""count"":2},{""word"":""consulté"",""count"":2},{""word"":""peu"",""count"":2},{""word"":""jolie"",""count"":2},{""word"":""rivoli"",""count"":2},{""word"":""resté"",""count"":2},{""word"":""première"",""count"":2},{""word"":""petit"",""count"":2},{""word"":""vacances"",""count"":2},{""word"":""côté"",""count"":2},{""word"":""mains"",""count"":2},{""word"":""femme"",""count"":2},{""word"":""bus"",""count"":2},{""word"":""lunettes"",""count"":2},{""word"":""manteau"",""count"":2},{""word"":""retournée"",""count"":2},{""word"":""charles"",""count"":2},{""word"":""m'avez"",""count"":2},{""word"":""moment"",""count"":2},{""word"":""bus"",""count"":2},{""word"":""parenthèse"",""count"":2},{""word"":""montée"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""ans"",""count"":2},{""word"":""louvre"",""count"":2},{""word"":""regards"",""count"":2},{""word"":""claudia"",""count"":2},{""word"":""dire"",""count"":2},{""word"":""bastille"",""count"":2},]"	48.8605382946574	2.34100049025543	Louvre-Rivoli	2	12	5908	0	0	0	0	9	3608	2	3	2300	0	0	0
mabillon	1915829	1	"[{""word"":""mabillon"",""count"":6},{""word"":""descendu"",""count"":4},{""word"":""cheveux"",""count"":4},{""word"":""ligne"",""count"":4},{""word"":""rare"",""count"":3},{""word"":""portais"",""count"":3},{""word"":""direction"",""count"":3},{""word"":""michelange"",""count"":3},{""word"":""revoir"",""count"":3},{""word"":""jolie"",""count"":3},{""word"":""très"",""count"":3},{""word"":""petit"",""count"":3},{""word"":""molitor"",""count"":3},{""word"":""depuis"",""count"":2},{""word"":""changer"",""count"":2},{""word"":""concorde"",""count"":2},{""word"":""attendait"",""count"":2},{""word"":""sourire"",""count"":2},{""word"":""amis"",""count"":2},{""word"":""sûrement"",""count"":2},{""word"":""chance"",""count"":2},{""word"":""face"",""count"":2},{""word"":""regrette"",""count"":2},{""word"":""café"",""count"":2},{""word"":""vendredi"",""count"":2},{""word"":""rien"",""count"":2},{""word"":""super"",""count"":2},{""word"":""mabillon"",""count"":2},{""word"":""côté"",""count"":2},{""word"":""descendue"",""count"":2},{""word"":""juste"",""count"":2},{""word"":""fille"",""count"":2},{""word"":""allais"",""count"":2},{""word"":""rencontre"",""count"":2},{""word"":""pense"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""demandé"",""count"":2},{""word"":""ipod"",""count"":2},{""word"":""regards"",""count"":2},]"	48.8528181349058	2.33540928887416	Mabillon	0	8	3765	0	0	0	0	6	2846	0	2	919	0	0	0
madeleine	7412746	3	"[{""word"":""yeux"",""count"":23},{""word"":""madeleine"",""count"":22},{""word"":""descendu"",""count"":17},{""word"":""ligne"",""count"":16},{""word"":""cheveux"",""count"":15},{""word"":""regards"",""count"":13},{""word"":""métro"",""count"":13},{""word"":""bleu"",""count"":13},{""word"":""brune"",""count"":12},{""word"":""face"",""count"":12},{""word"":""direction"",""count"":11},{""word"":""sac"",""count"":11},{""word"":""sourire"",""count"":10},{""word"":""peu"",""count"":10},{""word"":""noir"",""count"":10},{""word"":""femme"",""count"":10},{""word"":""regard"",""count"":9},{""word"":""veste"",""count"":8},{""word"":""quelques"",""count"":8},{""word"":""monté"",""count"":8},{""word"":""jolie"",""count"":8},{""word"":""cuir"",""count"":7},{""word"":""portais"",""count"":7},{""word"":""blouson"",""count"":7},{""word"":""jeune"",""count"":7},{""word"":""rame"",""count"":7},{""word"":""assis"",""count"":7},{""word"":""station"",""count"":7},{""word"":""petit"",""count"":7},{""word"":""chemise"",""count"":7},{""word"":""jean"",""count"":7},{""word"":""derrière"",""count"":6},{""word"":""être"",""count"":6},{""word"":""rouge"",""count"":6},{""word"":""j'étais"",""count"":6},{""word"":""lunettes"",""count"":6},{""word"":""croisé"",""count"":6},{""word"":""revoir"",""count"":6},{""word"":""beauté"",""count"":5},{""word"":""matin"",""count"":5},{""word"":""gris"",""count"":5},{""word"":""robe"",""count"":5},{""word"":""jupe"",""count"":5},{""word"":""échangé"",""count"":5},{""word"":""jusqu'à"",""count"":5},{""word"":""costume"",""count"":5},{""word"":""plaisir"",""count"":5},{""word"":""soir"",""count"":5},{""word"":""descendue"",""count"":5},{""word"":""j'espère"",""count"":5},{""word"":""osé"",""count"":5},{""word"":""très"",""count"":5},{""word"":""jeune"",""count"":5},{""word"":""sache"",""count"":5},{""word"":""bonnet"",""count"":5},{""word"":""trop"",""count"":4},{""word"":""noir"",""count"":4},{""word"":""depuis"",""count"":4},{""word"":""ainsi"",""count"":4},{""word"":""prendre"",""count"":4},{""word"":""style"",""count"":4},{""word"":""quand"",""count"":4},{""word"":""jambes"",""count"":4},{""word"":""brune"",""count"":4},{""word"":""beige"",""count"":4},{""word"":""madeleine"",""count"":4},{""word"":""musique"",""count"":4},{""word"":""beaucoup"",""count"":4},{""word"":""qu'il"",""count"":4},{""word"":""regarder"",""count"":4},{""word"":""sous"",""count"":4},{""word"":""assise"",""count"":4},{""word"":""madeleine"",""count"":4},{""word"":""sortie"",""count"":4},{""word"":""l'ai"",""count"":4},{""word"":""sorti"",""count"":4},{""word"":""manteau"",""count"":4},{""word"":""wagon"",""count"":4},{""word"":""montée"",""count"":4},{""word"":""recroiser"",""count"":4},{""word"":""peut"",""count"":4},{""word"":""quai"",""count"":4},{""word"":""l'air"",""count"":3},{""word"":""voir"",""count"":3},{""word"":""échangés"",""count"":3},{""word"":""voulu"",""count"":3},{""word"":""bleus"",""count"":3},{""word"":""sait"",""count"":3},{""word"":""personne"",""count"":3},{""word"":""message"",""count"":3},{""word"":""quoi"",""count"":3},{""word"":""avant"",""count"":3},{""word"":""balard"",""count"":3},{""word"":""frange"",""count"":3},{""word"":""noire"",""count"":3},{""word"":""brune"",""count"":3},{""word"":""suite"",""count"":3},{""word"":""admirer"",""count"":3},{""word"":""crois"",""count"":3},{""word"":""pantalon"",""count"":3},{""word"":""chance"",""count"":3},{""word"":""suivi"",""count"":3},{""word"":""blanche"",""count"":3},{""word"":""instant"",""count"":3},{""word"":""avait"",""count"":3},{""word"":""peutêtre"",""count"":3},{""word"":""blond"",""count"":3},{""word"":""sourires"",""count"":3},{""word"":""lisais"",""count"":3},{""word"":""surtout"",""count"":3},{""word"":""bleus"",""count"":3},{""word"":""cuir"",""count"":3},{""word"":""long"",""count"":3},{""word"":""gris"",""count"":3},{""word"":""lorsque"",""count"":3},{""word"":""coups"",""count"":3},{""word"":""blonde"",""count"":3},{""word"":""courts"",""count"":3},{""word"":""rue"",""count"":3},{""word"":""longs"",""count"":3},{""word"":""coté"",""count"":3},{""word"":""lis"",""count"":3},{""word"":""fort"",""count"":3},{""word"":""train"",""count"":3},{""word"":""venir"",""count"":3},{""word"":""étaient"",""count"":3},{""word"":""ravissante"",""count"":3},{""word"":""dernier"",""count"":3},{""word"":""demander"",""count"":3},{""word"":""blonde"",""count"":3},{""word"":""croiser"",""count"":3},{""word"":""voiture"",""count"":3},{""word"":""pris"",""count"":3},{""word"":""telle"",""count"":3},{""word"":""station"",""count"":3},{""word"":""descendre"",""count"":3},{""word"":""dire"",""count"":3},{""word"":""après"",""count"":3},{""word"":""qu'un"",""count"":3},{""word"":""fin"",""count"":3},{""word"":""main"",""count"":3},{""word"":""pense"",""count"":3},{""word"":""j'aurai"",""count"":3},{""word"":""côte"",""count"":3},{""word"":""recherche"",""count"":3},{""word"":""cet"",""count"":3},{""word"":""juste"",""count"":3},{""word"":""fille"",""count"":3},{""word"":""charme"",""count"":3},{""word"":""quelques"",""count"":3},{""word"":""croisés"",""count"":3},{""word"":""encore"",""count"":3},{""word"":""bottes"",""count"":3},{""word"":""proposer"",""count"":3},{""word"":""reconnais"",""count"":3},{""word"":""deux"",""count"":3},{""word"":""étions"",""count"":2},{""word"":""grand"",""count"":2},{""word"":""retrouvés"",""count"":2},{""word"":""temps"",""count"":2},{""word"":""pieds"",""count"":2},{""word"":""gros"",""count"":2},{""word"":""rare"",""count"":2},{""word"":""paire"",""count"":2},{""word"":""lunettes"",""count"":2},{""word"":""quelle"",""count"":2},{""word"":""brun"",""count"":2},{""word"":""essayé"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""ses"",""count"":2},{""word"":""mauvaise"",""count"":2},{""word"":""vraiment"",""count"":2},{""word"":""longue"",""count"":2},{""word"":""métro"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""caoutchouc"",""count"":2},{""word"":""t'aider"",""count"":2},{""word"":""pourvu"",""count"":2},{""word"":""cesse"",""count"":2},{""word"":""volontaire"",""count"":2},{""word"":""petites"",""count"":2},{""word"":""mémoire"",""count"":2},{""word"":""brunette"",""count"":2},{""word"":""verras"",""count"":2},{""word"":""air"",""count"":2},{""word"":""veux"",""count"":2},{""word"":""presque"",""count"":2},{""word"":""métro"",""count"":2},{""word"":""cherché"",""count"":2},{""word"":""afin"",""count"":2},{""word"":""noirs"",""count"":2},{""word"":""dernière"",""count"":2},{""word"":""charmante"",""count"":2},{""word"":""harcelée"",""count"":2},{""word"":""faut"",""count"":2},{""word"":""bel"",""count"":2},{""word"":""l'autre"",""count"":2},{""word"":""montparnasse"",""count"":2},{""word"":""tshirt"",""count"":2},{""word"":""peux"",""count"":2},{""word"":""toujours"",""count"":2},{""word"":""grande"",""count"":2},{""word"":""mouchoir"",""count"":2},{""word"":""rouges"",""count"":2},{""word"":""noires"",""count"":2},{""word"":""mis"",""count"":2},{""word"":""monter"",""count"":2},{""word"":""barbu"",""count"":2},{""word"":""échanges"",""count"":2},{""word"":""timidité"",""count"":2},{""word"":""malheureusement"",""count"":2},{""word"":""te revoir"",""count"":2},{""word"":""noires"",""count"":2},{""word"":""reprises"",""count"":2},{""word"":""ballerines"",""count"":2},{""word"":""coeur"",""count"":2},{""word"":""black"",""count"":2},{""word"":""livre"",""count"":2},{""word"":""nouveau"",""count"":2},{""word"":""brun"",""count"":2},{""word"":""vraiment"",""count"":2},{""word"":""jeans"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""homme"",""count"":2},{""word"":""regrette"",""count"":2},{""word"":""jamais"",""count"":2},{""word"":""jolis"",""count"":2},{""word"":""assise"",""count"":2},{""word"":""côté"",""count"":2},{""word"":""jaune"",""count"":2},{""word"":""moment"",""count"":2},{""word"":""bientôt"",""count"":2},{""word"":""beige"",""count"":2},{""word"":""cheuveux"",""count"":2},{""word"":""tard"",""count"":2},{""word"":""malgré"",""count"":2},{""word"":""quais"",""count"":2},{""word"":""tant"",""count"":2},{""word"":""magnifiques"",""count"":2},{""word"":""genre"",""count"":2},{""word"":""beaux"",""count"":2},{""word"":""tourner"",""count"":2},{""word"":""portes"",""count"":2},{""word"":""rire"",""count"":2},{""word"":""demandé"",""count"":2},{""word"":""annonce"",""count"":2},{""word"":""quitter"",""count"":2},{""word"":""mots"",""count"":2},{""word"":""trajet"",""count"":2},{""word"":""à madeleine"",""count"":2},{""word"":""beaux"",""count"":2},{""word"":""gênés"",""count"":2},{""word"":""vendredi"",""count"":2},{""word"":""metro"",""count"":2},{""word"":""foncé"",""count"":2},{""word"":""casque"",""count"":2},{""word"":""secondes"",""count"":2},{""word"":""hasard"",""count"":2},{""word"":""noirs"",""count"":2},{""word"":""jour"",""count"":2},{""word"":""blonds"",""count"":2},{""word"":""vert"",""count"":2},{""word"":""descendue"",""count"":2},{""word"":""bleue"",""count"":2},{""word"":""beau"",""count"":2},{""word"":""blanc"",""count"":2},{""word"":""pendant"",""count"":2},{""word"":""assez"",""count"":2},{""word"":""iphone"",""count"":2},{""word"":""short"",""count"":2},{""word"":""café"",""count"":2},{""word"":""j'aimerais"",""count"":2},{""word"":""sophie"",""count"":2},{""word"":""moins"",""count"":2},{""word"":""plusieurs"",""count"":2},{""word"":""dire"",""count"":2},{""word"":""connaissance"",""count"":2},{""word"":""j'espère"",""count"":2},{""word"":""brune"",""count"":2},{""word"":""dimanche"",""count"":2},{""word"":""collants"",""count"":2},{""word"":""ta beauté"",""count"":2},{""word"":""bisous"",""count"":2},{""word"":""d'en"",""count"":2},{""word"":""ensuite"",""count"":2},{""word"":""jamais"",""count"":2},{""word"":""regards"",""count"":2},{""word"":""désolé"",""count"":2},{""word"":""contre"",""count"":2},{""word"":""autour"",""count"":2},{""word"":""inconnu"",""count"":2},{""word"":""lire"",""count"":2},{""word"":""vêtue"",""count"":2},{""word"":""n'étais"",""count"":2},{""word"":""clair"",""count"":2},{""word"":""blanc"",""count"":2},{""word"":""rester"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""debout"",""count"":2},{""word"":""tête"",""count"":2},{""word"":""tour"",""count"":2},{""word"":""mèche"",""count"":2},{""word"":""mien"",""count"":2},{""word"":""mots"",""count"":2},{""word"":""jolie"",""count"":2},]"	48.8700643517776	2.32516370025939	Madeleine	2	52	22778	0	3	503	0	37	18093	2	12	4182	0	0	0
mairie-de-clichy	6892451	1	"[{""word"":""mairie"",""count"":9},{""word"":""clichy"",""count"":6},{""word"":""descendu"",""count"":5},{""word"":""yeux"",""count"":4},{""word"":""noir"",""count"":4},{""word"":""rousse"",""count"":4},{""word"":""clichy"",""count"":3},{""word"":""demoiselle"",""count"":3},{""word"":""quelques"",""count"":3},{""word"":""jeune"",""count"":3},{""word"":""derrière"",""count"":3},{""word"":""clichy"",""count"":3},{""word"":""j'étais"",""count"":3},{""word"":""face"",""count"":3},{""word"":""peu"",""count"":3},{""word"":""femme"",""count"":3},{""word"":""assise"",""count"":3},{""word"":""aussi"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""métro"",""count"":3},{""word"":""grand"",""count"":2},{""word"":""gare"",""count"":2},{""word"":""être"",""count"":2},{""word"":""depuis"",""count"":2},{""word"":""depuis"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""jusqu'à"",""count"":2},{""word"":""saint"",""count"":2},{""word"":""vous revoir"",""count"":2},{""word"":""sourire"",""count"":2},{""word"":""sac"",""count"":2},{""word"":""shakespeare"",""count"":2},{""word"":""sourire"",""count"":2},{""word"":""cherché"",""count"":2},{""word"":""sublime"",""count"":2},{""word"":""cheveux"",""count"":2},{""word"":""assis"",""count"":2},{""word"":""aurais"",""count"":2},{""word"":""bandouliere"",""count"":2},{""word"":""jolie"",""count"":2},{""word"":""casque"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""jeune"",""count"":2},{""word"":""dernier"",""count"":2},{""word"":""station"",""count"":2},{""word"":""peut"",""count"":2},{""word"":""regardé"",""count"":2},{""word"":""courage"",""count"":2},{""word"":""quai"",""count"":2},{""word"":""longs"",""count"":2},{""word"":""descendre"",""count"":2},{""word"":""souhaité"",""count"":2},{""word"":""descente"",""count"":2},{""word"":""arrivant"",""count"":2},]"	48.9036594416322	2.30556600125528	Mairie de Clichy	2	14	4724	0	0	0	0	8	2304	2	5	2028	0	1	392
mairie-de-montreuil	6300355	1	"[{""word"":""face"",""count"":2},]"	48.8623601850863	2.44165620310216	Mairie de Montreuil	0	2	463	0	0	0	0	2	463	0	0	0	0	0	0
mairie-de-saint-ouen	3732408	1	"[{""word"":""livre"",""count"":5},{""word"":""mairie"",""count"":4},{""word"":""grand"",""count"":3},{""word"":""descendus"",""count"":3},{""word"":""brune"",""count"":3},{""word"":""matin"",""count"":3},{""word"":""gris"",""count"":3},{""word"":""cheveux"",""count"":3},{""word"":""sortant"",""count"":3},{""word"":""pris"",""count"":3},{""word"":""noir"",""count"":3},{""word"":""quand"",""count"":2},{""word"":""yeux"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""passe"",""count"":2},{""word"":""lunettes"",""count"":2},{""word"":""descendu"",""count"":2},{""word"":""pensée"",""count"":2},{""word"":""métro"",""count"":2},{""word"":""plaisir"",""count"":2},{""word"":""sac"",""count"":2},{""word"":""habillé"",""count"":2},{""word"":""blonde"",""count"":2},{""word"":""portais"",""count"":2},{""word"":""noir"",""count"":2},{""word"":""direction"",""count"":2},{""word"":""tellement"",""count"":2},{""word"":""peu"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""l'ai"",""count"":2},{""word"":""monté"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""hasard"",""count"":2},{""word"":""jean"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""bonsoir"",""count"":2},{""word"":""jean"",""count"":2},{""word"":""lire"",""count"":2},{""word"":""descendue"",""count"":2},{""word"":""toute"",""count"":2},{""word"":""petite"",""count"":2},{""word"":""bus"",""count"":2},{""word"":""arrêt"",""count"":2},{""word"":""autres"",""count"":2},{""word"":""environ"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""bleu"",""count"":2},{""word"":""chemise"",""count"":2},{""word"":""regards"",""count"":2},{""word"":""ouen"",""count"":2},{""word"":""jolie"",""count"":2},{""word"":""métro"",""count"":2},]"	48.9120620157054	2.334163015407	Mairie de Saint-Ouen	4	9	4241	0	0	0	1	5	2232	3	4	2009	0	0	0
mairie-des-lilas	4602681	1	"[{""word"":""assis"",""count"":4},{""word"":""face"",""count"":3},{""word"":""regards"",""count"":3},{""word"":""message"",""count"":2},{""word"":""préféré"",""count"":2},{""word"":""gros"",""count"":2},{""word"":""aviez"",""count"":2},{""word"":""matin"",""count"":2},{""word"":""descendu"",""count"":2},{""word"":""cheveux"",""count"":2},{""word"":""fin"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""plusieurs"",""count"":2},{""word"":""regard"",""count"":2},]"	48.8797989953663	2.41623893515656	Mairie des Lilas	1	6	1881	0	2	545	1	4	1336	0	0	0	0	0	0
mairie-dissy	4194027	1	"[{""word"":""assis"",""count"":3},{""word"":""j'étais"",""count"":3},{""word"":""face"",""count"":3},{""word"":""peu"",""count"":3},{""word"":""mairie"",""count"":3},{""word"":""d'issy"",""count"":2},{""word"":""quelques"",""count"":2},{""word"":""bonjour"",""count"":2},{""word"":""descendu"",""count"":2},{""word"":""échangé"",""count"":2},{""word"":""rouge"",""count"":2},{""word"":""noir"",""count"":2},{""word"":""manteau"",""count"":2},]"	48.8248138108686	2.27350399984748	Mairie d'Issy	0	4	1316	0	1	544	0	2	387	0	1	385	0	0	0
mairie-divry	2973671	1	"[{""word"":""place"",""count"":5},{""word"":""temps"",""count"":3},{""word"":""tête"",""count"":3},{""word"":""d'italie"",""count"":2},{""word"":""d'italie"",""count"":2},{""word"":""sac"",""count"":2},{""word"":""soir"",""count"":2},{""word"":""yeux"",""count"":2},{""word"":""reconnais"",""count"":2},{""word"":""fort"",""count"":2},{""word"":""descendu"",""count"":2},{""word"":""gris"",""count"":2},{""word"":""face"",""count"":2},{""word"":""demoiselle"",""count"":2},{""word"":""mairie"",""count"":2},{""word"":""d'ivry"",""count"":2},{""word"":""haut"",""count"":2},{""word"":""j'aurai"",""count"":2},{""word"":""mots"",""count"":2},{""word"":""portiez"",""count"":2},{""word"":""regards"",""count"":2},]"	48.8111784269088	2.3838082733405	Mairie d'Ivry	0	5	3019	0	0	0	0	3	2122	0	2	897	0	0	0
maison-blanche	2155971	1	"[{""word"":""maison"",""count"":5},{""word"":""regards"",""count"":5},{""word"":""yeux"",""count"":4},{""word"":""descendu"",""count"":4},{""word"":""près"",""count"":4},{""word"":""peu"",""count"":4},{""word"":""souviens"",""count"":4},{""word"":""rame"",""count"":3},{""word"":""trop"",""count"":3},{""word"":""blanche"",""count"":3},{""word"":""demoiselle"",""count"":3},{""word"":""lorsque"",""count"":3},{""word"":""d'italie"",""count"":3},{""word"":""sueur"",""count"":3},{""word"":""visage"",""count"":3},{""word"":""très"",""count"":3},{""word"":""maison"",""count"":3},{""word"":""station"",""count"":3},{""word"":""téléphone"",""count"":3},{""word"":""quai"",""count"":3},{""word"":""place"",""count"":3},{""word"":""quand"",""count"":2},{""word"":""attention"",""count"":2},{""word"":""depuis"",""count"":2},{""word"":""reconnais"",""count"":2},{""word"":""veste"",""count"":2},{""word"":""crois"",""count"":2},{""word"":""direction"",""count"":2},{""word"":""tragus"",""count"":2},{""word"":""j'étais"",""count"":2},{""word"":""marrons"",""count"":2},{""word"":""face"",""count"":2},{""word"":""jolie"",""count"":2},{""word"":""osé"",""count"":2},{""word"":""autour"",""count"":2},{""word"":""regard"",""count"":2},{""word"":""blanc"",""count"":2},{""word"":""ete"",""count"":2},{""word"":""rentrer"",""count"":2},{""word"":""ligne"",""count"":2},{""word"":""blanche"",""count"":2},{""word"":""blanche"",""count"":2},{""word"":""croisés"",""count"":2},{""word"":""retourné"",""count"":2},{""word"":""bleu"",""count"":2},{""word"":""aussi"",""count"":2},{""word"":""charmante"",""count"":2},{""word"":""assez"",""count"":2},]"	48.8226203194274	2.35818867672494	Maison Blanche	0	13	4147	0	2	522	0	10	3391	0	1	234	0	0	0
maisons-alfort-les-juilliottes	1976516	1	"[{""word"":""côté"",""count"":3},{""word"":""pote"",""count"":2},{""word"":""première"",""count"":2},]"	48.8031418697523	2.44499102669377	Maisons-Alfort-Les Juilliottes	0	2	1165	0	0	0	0	1	721	0	1	444	0	0	0
